Name_ID,Gender,Breed,Age,Animal Type,Weight,Brought to Shelter,Kennel Location,Scrape Date,age_numeric,Weight_num,Name,ID,location_simple,kennel_name,kennel_num,side,Days_at_shelter,result
CAROLINA (A1180514),Female,English Foxhound,4 years old,Dog,62 pounds,2024-12-08,TOOMEYD21,2024-12-08,4.0,62.0,CAROLINA,1180514,Toomey,TOOMEYD,21,,0,Looking for Furever Home
COSMO (A1221785),Male,Pit Bull Terrier,"1 year, 9 months old",Dog,46 pounds,2024-12-08,TOOMEYD12,2024-12-08,1.0,46.0,COSMO,1221785,Toomey,TOOMEYD,12,,0,Looking for Furever Home
TOKYO (A1225928),Female,Plott Hound mix,"1 year, 1 month old",Dog,54 pounds,2024-12-08,TOOMEYD33,2024-12-08,1.0,54.0,TOKYO,1225928,Toomey,TOOMEYD,33,,0,Looking for Furever Home
TANDY (A1232250),Male,Labrador Retriever mix,"1 year, 4 months old",Dog,66 pounds,2024-12-08,TOOMEYD08,2024-12-08,1.0,66.0,TANDY,1232250,Toomey,TOOMEYD,08,,0,Looking for Furever Home
REBEL (A1235595),Male,Labrador Retriever mix,5 years old,Dog,50 pounds,2024-12-08,TOOMEYD24,2024-12-08,5.0,50.0,REBEL,1235595,Toomey,TOOMEYD,24,,0,Looking for Furever Home
COAL (A1236688),Male,Pit Bull Terrier mix,"1 year, 1 month old",Dog,42 pounds,2024-12-08,TOOMEYD22,2024-12-08,1.0,42.0,COAL,1236688,Toomey,TOOMEYD,22,,0,Looking for Furever Home
NOODLE (A1236653),Male,Pit Bull Terrier,"2 years, 1 month old",Dog,44 pounds,2024-12-08,TOOMEYD26,2024-12-08,2.0,44.0,NOODLE,1236653,Toomey,TOOMEYD,26,,0,Looking for Furever Home
RHONDA (A1236913),Female,American Bully,,Dog,49 pounds,2024-12-08,TOOMEYD25,2024-12-08,,49.0,RHONDA,1236913,Toomey,TOOMEYD,25,,0,Looking for Furever Home
NYLA (A5174630),Female,Breed information is not provided by this shelter,8 years old,Dog,47 pounds,2024-12-08,FOSTER,2024-12-08,8.0,47.0,NYLA,5174630,Foster,FOSTER,,,0,Looking for Furever Home
HARVEY (A5288499),Male,Labrador Retriever mix,8 years old,Dog,63 pounds,2024-12-08,TOOMEYD09,2024-12-08,8.0,63.0,HARVEY,5288499,Toomey,TOOMEYD,09,,0,Looking for Furever Home
ACORN (A1237357),Male,Rat Terrier,,Dog,16 pounds,2024-12-07,DOG INTAKE,2024-12-08,,16.0,ACORN,1237357,Byrum,DOG INTAKE,,,1,Looking for Furever Home
BELLA (A5102656),Female,Pit Bull Terrier mix,11 years old,Dog,42 pounds,2024-12-07,LST 03L,2024-12-08,11.0,42.0,BELLA,5102656,Byrum,LST ,03,L,1,Looking for Furever Home
CLAY (A1235790),Male,Pit Bull Terrier,,Dog,55 pounds,2024-12-07,FOSTER,2024-12-08,,55.0,CLAY,1235790,Foster,FOSTER,,,1,Looking for Furever Home
REBA (A1233385),Female,American Bully and French Bulldog,,Dog,39 pounds,2024-12-07,FOSTER,2024-12-08,,39.0,REBA,1233385,Foster,FOSTER,,,1,Looking for Furever Home
DALLAS (A1233512),Male,American Staffordshire Terrier,4 years old,Dog,41 pounds,2024-12-07,ADOPT 03R,2024-12-08,4.0,41.0,DALLAS,1233512,Byrum,ADOPT ,03,R,1,Looking for Furever Home
BRUNO (A1232009),Male,American Bulldog,3 years old,Dog,55 pounds,2024-12-06,FOSTER,2024-12-08,3.0,55.0,BRUNO,1232009,Foster,FOSTER,,,2,Looking for Furever Home
DAWSON (A1235744),Male,Breed information is not provided by this shelter,10 months old,Dog,40 pounds,2024-12-06,FOSTER,2024-12-08,0.8333333333333334,40.0,DAWSON,1235744,Foster,FOSTER,,,2,Looking for Furever Home
WES (A1228042),Male,Pit Bull Terrier,"1 year, 7 months old",Dog,63 pounds,2024-12-06,FOSTER,2024-12-08,1.0,63.0,WES,1228042,Foster,FOSTER,,,2,Looking for Furever Home
LOUIE (A1229199),Male,Pit Bull Terrier mix,3 years old,Dog,50 pounds,2024-12-06,ADOPT 13R,2024-12-08,3.0,50.0,LOUIE,1229199,Byrum,ADOPT ,13,R,2,Looking for Furever Home
APOLLO (A1224669),Male,Labrador Retriever mix,"2 years, 9 months old",Dog,65 pounds,2024-12-06,FOSTER,2024-12-08,2.0,65.0,APOLLO,1224669,Foster,FOSTER,,,2,Looking for Furever Home
FINN (A1236754),Male,Soft-Coated Wheaten Terrier mix,4 years old,Dog,34 pounds,2024-12-06,FOSTER,2024-12-08,4.0,34.0,FINN,1236754,Foster,FOSTER,,,2,Looking for Furever Home
JAKE (A1236755),Male,Chihuahua - Smooth Coated mix,7 years old,Dog,25 pounds,2024-12-06,FOSTER,2024-12-08,7.0,25.0,JAKE,1236755,Foster,FOSTER,,,2,Looking for Furever Home
A1237101,Male,Pit Bull Terrier,,Dog,28 pounds,2024-12-06,ADPTPUP8R,2024-12-08,,28.0,,1237101,Byrum,ADPTPUP,8,R,2,Looking for Furever Home
FLETCH (A1236035),Male,Labrador Retriever,"2 years, 1 month old",Dog,90 pounds,2024-12-06,FOSTER,2024-12-08,2.0,90.0,FLETCH,1236035,Foster,FOSTER,,,2,Looking for Furever Home
HUEY (A1237025),Male,Breed information is not provided by this shelter,"1 year, 1 month old",Dog,87 pounds,2024-12-05,ADOPT 07L,2024-12-08,1.0,87.0,HUEY,1237025,Byrum,ADOPT ,07,L,3,Looking for Furever Home
CHRISTIAN (A1237161),Male,Pit Bull Terrier,5 months old,Dog,46 pounds,2024-12-05,ADPTPUP6L,2024-12-08,0.4166666666666667,46.0,CHRISTIAN,1237161,Byrum,ADPTPUP,6,L,3,Looking for Furever Home
CHUCHE (A1236783),Female,Pit Bull Terrier mix,16 weeks old,Dog,20 pounds,2024-12-05,FOSTER,2024-12-08,,20.0,CHUCHE,1236783,Foster,FOSTER,,,3,Looking for Furever Home
FAWN (A1221109),Female,Australian Shepherd mix,,Dog,24 pounds,2024-12-05,ADOPT 03L,2024-12-08,,24.0,FAWN,1221109,Byrum,ADOPT ,03,L,3,Looking for Furever Home
ROLLO (A1231872),Male,Labrador Retriever mix,10 months old,Dog,30 pounds,2024-12-05,FOSTER,2024-12-08,0.8333333333333334,30.0,ROLLO,1231872,Foster,FOSTER,,,3,Looking for Furever Home
